subject_id,scenario_id,rep,configuration,engine_mode,diag_component,diag_category,gt_role,gt_category,top1_aligned,category_correct
s2-listmonk,F1,r1,C1,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r1,C1,llm-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r1,C2,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r1,C2,llm-grounded,postgres-migrate job,database,migration-job,database,0,1
s2-listmonk,F1,r1,C3,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r1,C3,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r1,C4,llm-b-grounded,PostgreSQL database migration job,database,migration-job,database,0,1
s2-listmonk,F1,r1,C4,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r1,C5,llm-b-grounded,PostgreSQL database migration job,database,migration-job,database,0,1
s2-listmonk,F1,r1,C5,llm-grounded,database migration job,application,migration-job,database,0,0
s2-listmonk,F1,r10,C1,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r10,C1,llm-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r10,C2,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r10,C2,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r10,C3,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r10,C3,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r10,C4,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r10,C4,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r10,C5,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r10,C5,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r2,C1,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r2,C1,llm-grounded,database,database,migration-job,database,1,1
s2-listmonk,F1,r2,C2,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r2,C2,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r2,C3,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r2,C3,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r2,C4,llm-b-grounded,PostgreSQL database migration job,database,migration-job,database,0,1
s2-listmonk,F1,r2,C4,llm-grounded,postgres-migrate job,database,migration-job,database,0,1
s2-listmonk,F1,r2,C5,llm-b-grounded,PostgreSQL database migration job,database,migration-job,database,0,1
s2-listmonk,F1,r2,C5,llm-grounded,database migration job,database,migration-job,database,0,1
s2-listmonk,F1,r3,C1,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r3,C1,llm-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r3,C2,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r3,C2,llm-grounded,postgres-migrate job,database,migration-job,database,0,1
s2-listmonk,F1,r3,C3,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r3,C3,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r3,C4,llm-b-grounded,PostgreSQL database and migration job,database,migration-job,database,0,1
s2-listmonk,F1,r3,C4,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r3,C5,llm-b-grounded,PostgreSQL database migration job,database,migration-job,database,0,1
s2-listmonk,F1,r3,C5,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r4,C1,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r4,C1,llm-grounded,PostgreSQL Database,database,migration-job,database,0,1
s2-listmonk,F1,r4,C2,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r4,C2,llm-grounded,postgres-migrate job,database,migration-job,database,0,1
s2-listmonk,F1,r4,C3,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r4,C3,llm-grounded,postgres-migrate job,database,migration-job,database,0,1
s2-listmonk,F1,r4,C4,llm-b-grounded,PostgreSQL database migration job,database,migration-job,database,0,1
s2-listmonk,F1,r4,C4,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r4,C5,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r4,C5,llm-grounded,database migration job,application,migration-job,database,0,0
s2-listmonk,F1,r5,C1,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r5,C1,llm-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r5,C2,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r5,C2,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
s2-listmonk,F1,r5,C3,llm-b-grounded,PostgreSQL database,database,migration-job,database,0,1
s2-listmonk,F1,r5,C3,llm-grounded,postgres-migrate job,application,migration-job,database,0,0
